Gard ID,identifiers,Number of Matches,QID,Match Gard ID
13018,,0,,
5658,OMIM:202010 | ORPHANET:90795 | UMLS:C0268292 |,2,Q366868 | Q4127183 | ,
13390,,0,,
10525,OMIM:615656 | ORPHANET:261183 |,1,Q21154057 | ,False
10296,OMIM:612001 | UMLS:C2677613 | ORPHANET:199318 |,1,Q21154058 | ,True
11975,,0,,
12219,ORPHANET:94065 | OMIM:613406 |,1,Q21154059 | ,True
10740,OMIM:611913 | ORPHANET:261197 |,1,Q38404 | ,False
12388,OMIM:614671 |,1,Q21154076 | ,False
13392,ORPHANET:261243 |,1,Q55786544 | ,True
10935,ORPHANET:261250 |,1,Q55786545 | ,True
1469,OMIM:202110 | ORPHANET:90793 | UMLS:C0268285 |,2,Q366868 | Q4127184 | ,
5659,OMIM:264300 | ORPHANET:752 | UMLS:C0268296 |,1,Q4552290 | ,False
13297,ORPHANET:261265 | OMIM:614527 |,1,Q21154064 | ,False
13296,OMIM:614526 | ORPHANET:261272 |,1,Q21154079 | ,False
10936,OMIM:613355 | ORPHANET:261279 |,1,Q21154065 | ,True
5660,OMIM:203400 | ORPHANET:99763 | UMLS:C0268293 |,2,Q55781638 | Q56014440 | ,
10991,ORPHANET:254346 |,1,Q55786411 | ,True
10831,ORPHANET:262833 |,1,Q55786662 | ,False
10813,OMIM:612474 | ORPHANET:250989 |,1,Q209049 | ,True
10943,ORPHANET:238769 |,1,Q55786309 | ,True
10327,OMIM:222745 | ORPHANET:42641 | UMLS:C1857252 |,1,Q4596783 | ,False
8635,UMLS:C2930873 |,0,,
10761,ORPHANET:19 |,1,Q4596888 | ,True
10716,OMIM:300438 | UMLS:C1845517 | ORPHANET:391417 |,2,Q50846110 | Q28065614 | ,
8382,UMLS:C2930874 |,0,,
10322,OMIM:610006 | ORPHANET:79157 | UMLS:C1864912 |,1,Q4596905 | ,True
12492,ORPHANET:261295 |,1,Q55786548 | ,True
5757,OMIM:201910 |,2,Q366868 | Q4127185 | ,
10299,OMIM:611867 | ORPHANET:567 |,1,Q21124541 | ,False
10557,OMIM:608363 | ORPHANET:1727 | UMLS:C2675369 |,1,Q4631454 | ,True
10130,OMIM:606232 | ORPHANET:48652 | UMLS:C1853490 |,1,Q1926345 | ,True
13391,OMIM:612513 | ORPHANET:261349 |,1,Q21154069 | ,True
10998,ORPHANET:228402 | OMIM:156200 |,3,Q56013827 | Q50349604 | Q19587382 | ,
10202,OMIM:600430 | UMLS:C1838126 | ORPHANET:1001 |,1,Q574227 | ,False
9151,OMIM:210210 | UMLS:C1859499 |,1,Q4634172 | ,False
5665,OMIM:210200 | ORPHANET:6 | UMLS:C0268600 |,1,Q4634172 | ,False
10344,OMIM:610198 | UMLS:C1857776 |,1,Q27677576 | ,True
9870,OMIM:231530 | ORPHANET:71212 | UMLS:C1291230 |,2,Q4634219 | Q60195056 | ,
9152,OMIM:201810 | ORPHANET:90791 |,2,Q366868 | Q4127186 | ,
5662,OMIM:236795 | ORPHANET:939 |,1,Q4636563 | ,True
10954,ORPHANET:6 |,1,Q4634172 | ,True
10321,OMIM:250950 | ORPHANET:67046 | UMLS:C0342727 |,2,Q27677578 | Q3598794 | ,
5667,ORPHANET:2616 |,1,Q3335660 | ,True
1118,UMLS:C0796279 | ORPHANET:293843 |,1,Q18966097 | ,True
11974,OMIM:609425 | ORPHANET:65286 |,1,Q4636618 | ,True
8155,UMLS:C1848680 |,1,Q55789854 | ,True
8538,UMLS:C0432470 | ORPHANET:98085 |,0,,
5671,UMLS:C2930875 |,0,,
399,OMIM:278850 | ORPHANET:393 | UMLS:C0022735 |,4,Q28401082 | Q8042656 | Q365589 | Q207133 | ,
5672,ORPHANET:3375 | UMLS:C0221033 |,1,Q510912 | ,False
5674,ORPHANET:8 |,1,Q267602 | ,False
5676,ORPHANET:96263 |,1,Q8042637 | ,True
5677,,0,,
11985,ORPHANET:99329 |,1,Q55789409 | ,True
10922,ORPHANET:261534 |,1,Q55786560 | ,True
5678,ORPHANET:11 | UMLS:C0265497 |,1,Q4638724 | ,False
5679,ORPHANET:96264 |,1,Q4638720 | ,True
5680,ORPHANET:753 | OMIM:264600 | UMLS:C0268297 |,2,Q858426 | Q7255691 | ,
8242,UMLS:C2930876 |,0,,
5681,OMIM:260005 | ORPHANET:33572 | UMLS:C0268525 |,1,Q52611903 | ,True
8723,OMIM:153550 | ORPHANET:86841 |,1,Q245455 | ,False
12166,ORPHANET:228384 | OMIM:613443 |,2,Q50349624 | Q56013826 | ,
5682,OMIM:261640 | ORPHANET:13 | UMLS:C0878676 |,1,Q4641554 | ,True
12076,OMIM:609757 | ORPHANET:96121 |,1,Q55783693 | ,False
13684,ORPHANET:96092 |,1,Q55788946 | ,False
